time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
0.009,8297,10579,5004,11960,11960,11960,11960,11960,-1,5120,4080,-1,-1,-1,-1
6.764,8297,10579,5004,11960,11960,11960,11960,11960,-1,5120,4080,-1,-1,-1,-1
9.028,8297,10579,5004,11960,11960,11960,11960,11960,-1,5120,4080,-1,-1,-1,-1
10.576,8138,10579,5004,11960,11960,11960,11960,11960,-1,5120,4080,-1,-1,-1,-1
11.174,8138,10579,5004,11960,11960,11960,11960,11960,-1,5136,4080,-1,-1,-1,-1
11.790,8138,10579,5004,11960,11960,11960,11960,11960,-1,5136,4080,-1,-1,-1,-1
29.376,8138,10587,4995,11960,11960,11960,11960,11960,-1,5136,4080,-1,-1,-1,-1
30.478,8138,10587,4995,11960,11960,11960,11960,11960,-1,5088,4080,-1,-1,-1,-1
31.292,8138,10587,4995,11960,11960,11960,11960,11960,-1,5088,4064,-1,-1,-1,-1
33.025,8138,10587,4995,11960,11960,11960,11960,11960,-1,5088,4064,-1,-1,-1,-1
33.726,8138,10587,4995,11960,11960,11960,11960,11960,-1,5056,4064,-1,-1,-1,-1
34.632,8138,10587,4995,11960,11960,11960,11960,11960,-1,5056,4064,-1,-1,-1,-1
35.337,8281,10587,4995,11960,11960,11960,11960,11960,-1,5056,4064,-1,-1,-1,-1
35.648,8281,10587,4995,11960,11960,11960,11960,11960,-1,4976,4064,-1,-1,-1,-1
36.012,8281,10587,4995,11960,11960,11960,11960,11960,-1,4976,4048,-1,-1,-1,-1
36.710,8281,10578,4990,11960,11960,11960,11960,11960,-1,4976,4048,-1,-1,-1,-1
54.391,8281,10578,4990,11960,11960,11960,11960,11960,-1,4928,4048,-1,-1,-1,-1
55.150,8281,10578,4990,11960,11960,11960,11960,11960,-1,4928,4032,-1,-1,-1,-1
55.746,8281,10578,4990,11960,11960,11960,11960,11960,-1,4928,4032,-1,-1,-1,-1
56.069,8281,10578,4990,11960,11960,11960,11960,11960,-1,4848,4032,-1,-1,-1,-1
56.504,8281,10578,4990,11960,11960,11960,11960,11960,-1,4848,4032,-1,-1,-1,-1
57.206,8182,10578,4990,11960,11960,11960,11960,11960,-1,4848,4032,-1,-1,-1,-1
58.904,8182,10578,4990,11960,11960,11960,11960,11960,-1,4816,4032,-1,-1,-1,-1
78.904,8182,10578,4990,11960,11960,11960,11960,11960,-1,4816,4016,-1,-1,-1,-1
79.653,8182,10583,5011,11960,11960,11960,11960,11960,-1,4816,4016,-1,-1,-1,-1
80.092,8182,10583,5011,11960,11960,11960,11960,11960,-1,4752,4016,-1,-1,-1,-1
