ImpactPosX,ImpactPosY,,,,,,
0.01508172,1.294571,,,,,,
0.2139613,1.195965,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
-0.000610083,1.22768,,,,,,
,,,,,,,
-0.06216076,1.395107,,,,,,
,,,,,,,
0.1776898,1.14621,,,,,,
,,,,,,,
0.1351919,1.374207,,,,,,
,,,,,,,
0.09128706,1.372494,,,,,,
,,,,,,,
0.1427623,1.406799,,,,,,
,,,,,,,
0.1085687,1.34774,,,,,,
,,,,,,,
0.04091177,1.476173,,,,,,
,,,,,,,
0.05684942,1.342899,,,,,,
,,,,,,,
0.0780374,1.453041,,,,,,
,,,,,,,
,,,,,,,
0.004396218,1.527237,,,,,,
,,,,,,,
0.02393698,1.473011,,,,,,
,,,,,,,
0.1296957,1.423775,,,,,,
,,,,,,,
0.03498853,1.251316,,,,,,
,,,,,,,
0.01099055,1.361374,,,,,,
,,,,,,,
0.004518235,1.42804,,,,,,
,,,,,,,
0.1232844,1.445435,,,,,,
,,,,,,,
0.03755269,1.333538,,,,,,
,,,,,,,
-0.04744508,1.123802,,,,,,
,,,,,,,
0.02076093,1.37381,,,,,,
,,,,,,,
-0.02784513,1.274235,,,,,,
,,,,,,,
0.005862228,1.330311,,,,,,
,,,,,,,
-0.002198109,1.45282,,,,,,
,,,,,,,
-0.09324114,1.362556,,,,,,
,,,,,,,
0.07644937,1.408104,,,,,,
,,,,,,,
0.0837166,1.536816,,,,,,
,,,,,,,
-0.1059417,1.483486,,,,,,
,,,,,,,
0.04787214,1.445225,,,,,,
,,,,,,,
,,,,,,,
-0.04781114,1.173298,,,,,,
,,,,,,,
-0.02186088,1.175114,,,,,,
,,,,,,,
,,,,,,,
-0.1253605,1.174492,,,,,,
,,,,,,,
-0.06704686,1.405457,,,,,,
,,,,,,,
0.0333395,1.196953,,,,,,
,,,,,,,
0.07846446,1.428013,,,,,,
,,,,,,,
-0.0950732,1.208992,,,,,,
,,,,,,,
0.114919,1.209713,,,,,,
,,,,,,,
0.09342416,1.419022,,,,,,
,,,,,,,
-0.009343321,1.364353,,,,,,
,,,,,,,
0.2611624,1.236553,,,,,,
,,,,,,,
-0.01599866,1.16116,,,,,,
,,,,,,,
,,,,,,,
0.138,1.236172,,,,,,
,,,,,,,
-0.06948899,1.263378,,,,,,
,,,,,,,
0.08927198,1.426548,,,,,,
,,,,,,,
-0.1142479,1.263161,,,,,,
,,,,,,,
-0.03327849,1.404549,,,,,,
,,,,,,,
0.1065536,1.482666,,,,,,
,,,,,,,
,,,,,,,
0.1050266,1.254673,,,,,,
,,,,,,,
0.05910854,1.316517,,,,,,
,,,,,,,
-0.07815941,1.241611,,,,,,
,,,,,,,
-0.005618195,1.35199,,,,,,
,,,,,,,
-0.07846446,1.429306,,,,,,
,,,,,,,
-0.002747184,1.17979,,,,,,
,,,,,,,
0.1897803,1.338718,,,,,,
,,,,,,,
0.1896583,1.427101,,,,,,
,,,,,,,
0.1387322,1.262321,,,,,,
,,,,,,,
0.1248114,1.296616,,,,,,
,,,,,,,
0.1699974,1.341759,,,,,,
,,,,,,,
0.1255435,1.240772,,,,,,
,,,,,,,
0.05159727,1.234318,,,,,,
,,,,,,,
0.2203727,1.286037,,,,,,
,,,,,,,
0.138,1.386627,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
0.2418065,1.297009,,,,,,
,,,,,,,
