ORDER   PARTICIPANT			IMPULSE
(1)       part 4:       [52, 55, 66, 54, 58]
(3) 	  part 12:	[269, 245, 165, 107, 105]
(4) 	  part 1:	[144, 391, 381, 430, 451]
(5) 	  part 3:	[431, 235, 248, 383, 338]
(6) 	  part 14:	[111, 97, 100, 92, 72]
(7) 	  part 13:	[157, 189, 172, 206, 237]


(8)	  part 7:	[197, 87, 267, 297, 368]
(9)	  part 10:	[83, 95, 108, 97, 69]
(10)	  part 2:	[86, 96, 81, 104, 96]
(11)	  part 11:	[122, 92, 102, 137, 82]
(13)	  part 8: 	[673, 123, 158, 163, 121]
(14)	  part 5: 	[110, 94, 102, 79, 119]
