Id,SimEngId,TimeStamp,ColliderName,ImpactPosX,ImpactPosY,ImpactPosZ,ImpactPosRelativeX,ImpactPosRelativeY,ImpactPosRelativeZ,HitType,PlexiHit,BulletId,BulletVelocityX,BulletVelocityY,BulletVelocityZ,Score,TargetSpeed,DistToTrainee,EntityStatusSimEngId,EntityId,FireId,TrainingSessionId,HitImage_id
1,1,21.31756,plexi,0.01503438,1.294937,0.01601703,-0.01510586,1.295903,0,1,1,1,331.0059,-7.547379,-9.542847,0,0,25.00565,7154,10,1,2,NULL
2,2,21.31756,target-hit-10,0.01508172,1.294571,2.018089E-05,-0.01509214,1.294575,0,1,0,1,331.0059,-7.547379,-9.542847,10,0,25.02161,7154,10,1,2,NULL
3,3,22.51024,plexi,0.213853,1.196392,0.01599481,-0.214747,1.196848,0,1,1,3,331.0394,-8.854485,-6.906128,0,0,25.00267,7449,10,2,2,NULL
4,4,22.51024,target-hit-2,0.2139613,1.195965,-2.258457E-07,-0.2138217,1.195932,0,1,0,3,331.0394,-8.854485,-6.906128,2,0,25.01864,7449,10,2,2,NULL
5,5,23.81966,plexi,-0.0006592347,1.228088,0.01603975,0.0006585621,1.2287,0,1,1,5,330.9784,-8.434296,-9.753418,0,0,25.00293,7779,10,3,2,NULL
6,6,23.81966,target-hit-8,-0.0006100829,1.22768,-1.810684E-05,0.0006249609,1.22768,0,1,0,5,330.9784,-8.434296,-9.753418,8,0,25.01896,7779,10,3,2,NULL
7,7,39.13202,plexi,-0.06208789,1.395409,0.01604845,0.06237923,1.396956,0,1,1,7,330.9998,-6.213951,-10.56824,0,0,25.01007,11609,10,4,2,NULL
8,8,39.13202,target-hit-6,-0.06216076,1.395107,-1.302746E-05,0.06207072,1.395099,0,1,0,7,330.9998,-6.213951,-10.56824,6,0,25.0261,11609,10,4,2,NULL
9,9,40.10783,plexi,0.1775815,1.146671,0.01601741,-0.1782992,1.14689,0,1,1,9,331.012,-9.514236,-7.385254,0,0,25.00054,11849,10,5,2,NULL
10,10,40.10783,target-hit-2,0.1776898,1.14621,2.237735E-05,-0.1775451,1.146198,0,1,0,9,331.012,-9.514236,-7.385254,2,0,25.01651,11849,10,5,2,NULL
11,11,104.2449,plexi,0.1350817,1.374523,0.01603835,-0.1357203,1.375945,0,1,1,11,331.0669,-6.491089,-7.949829,0,0,25.00942,27881,11,6,3,NULL
12,12,104.2449,target-hit-5,0.1351919,1.374207,-1.76928E-05,-0.1350727,1.374185,0,1,0,11,331.0669,-6.491089,-7.949829,5,0,25.02545,27881,11,6,3,NULL
13,13,105.9668,plexi,0.09123972,1.37281,0.01601945,-0.09167062,1.374223,0,1,1,13,331.0516,-6.513786,-8.535767,0,0,25.00916,28311,11,7,3,NULL
14,14,105.9668,target-hit-6,0.09128706,1.372494,2.260762E-05,-0.09121811,1.372491,0,1,0,13,331.0516,-6.513786,-8.535767,6,0,25.02513,28311,11,7,3,NULL
15,15,107.5665,plexi,0.142654,1.407093,0.01601884,-0.1433408,1.408713,0,1,1,15,331.0791,-6.058884,-7.852173,0,0,25.01096,28711,11,8,3,NULL
16,16,107.5665,target-hit-4,0.1427623,1.406799,2.380693E-05,-0.142599,1.406784,0,1,0,15,331.0791,-6.058884,-7.852173,4,0,25.02693,28711,11,8,3,NULL
17,17,109.1114,plexi,0.1085196,1.348072,0.01604381,-0.1090245,1.349338,0,1,1,17,331.0547,-6.842232,-8.303833,0,0,25.00812,29096,11,9,3,NULL
18,18,109.1114,target-hit-6,0.1085687,1.34774,-1.404341E-05,-0.1084647,1.347726,0,1,0,17,331.0547,-6.842232,-8.303833,6,0,25.02414,29096,11,9,3,NULL
19,19,110.8527,plexi,0.04086262,1.476421,0.01605085,-0.04107141,1.478482,0,1,1,19,331.0577,-5.138588,-9.20105,0,0,25.01385,29536,11,10,3,NULL
20,20,110.8527,target-hit-4,0.04091177,1.476173,-7.007504E-06,-0.04088844,1.476173,0,1,0,19,331.0577,-5.138588,-9.20105,4,0,25.02987,29536,11,10,3,NULL
21,21,140.195,plexi,0.05680026,1.343231,0.01603537,-0.05706556,1.344469,0,1,1,21,331.0333,-6.906509,-8.990479,0,0,25.00774,36863,12,11,4,NULL
22,22,140.195,target-hit-8,0.05684942,1.342899,-2.248539E-05,-0.05679176,1.342898,0,1,0,21,331.0333,-6.906509,-8.990479,8,0,25.02377,36863,12,11,4,NULL
23,23,141.6454,plexi,0.07798824,1.453308,0.01605359,-0.07837549,1.455218,0,1,1,23,331.0669,-5.44548,-8.712769,0,0,25.01281,37228,12,12,4,NULL
24,24,141.6454,target-hit-4,0.0780374,1.453041,-4.261034E-06,-0.07796081,1.453036,0,1,0,23,331.0669,-5.44548,-8.712769,4,0,25.02884,37228,12,12,4,NULL
25,25,143.4198,plexi,-0.2971152,1.250565,0.01603407,0.2983986,1.251291,0,1,1,25,330.8472,-8.135605,-13.68713,0,0,25.00558,37673,12,13,4,NULL
26,26,145.1316,plexi,0.004348877,1.527454,0.0160052,-0.004374547,1.529858,0,1,1,27,331.0516,-4.461098,-9.689331,0,0,25.0164,38093,12,14,4,NULL
