time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
0.008,8489,10894,5381,11960,11960,11960,11960,11960,-1,1920,4016,-1,-1,-1,-1
1.849,8489,10894,5381,11960,11960,11960,11960,11960,-1,1920,4016,-1,-1,-1,-1
3.827,8489,10894,5381,11960,11960,11960,11960,11960,-1,1920,4016,-1,-1,-1,-1
7.244,8578,10894,5381,11960,11960,11960,11960,11960,-1,1920,4016,-1,-1,-1,-1
8.169,8578,10894,5381,11960,11960,11960,11960,11960,-1,1936,4016,-1,-1,-1,-1
8.984,8578,10894,5381,11960,11960,11960,11960,11960,-1,1936,4016,-1,-1,-1,-1
10.615,8578,10842,5258,11960,11960,11960,11960,11960,-1,1936,4016,-1,-1,-1,-1
10.989,8578,10842,5258,11960,11960,11960,11960,11960,-1,1952,4016,-1,-1,-1,-1
11.368,8578,10842,5258,11960,11960,11960,11960,11960,-1,1952,4032,-1,-1,-1,-1
26.522,8578,10842,5258,11960,11960,11960,11960,11960,-1,1952,4032,-1,-1,-1,-1
27.260,8578,10842,5258,11960,11960,11960,11960,11960,-1,1968,4032,-1,-1,-1,-1
28.062,8578,10842,5258,11960,11960,11960,11960,11960,-1,1968,4016,-1,-1,-1,-1
30.407,8485,10842,5258,11960,11960,11960,11960,11960,-1,1968,4016,-1,-1,-1,-1
31.321,8485,10842,5258,11960,11960,11960,11960,11960,-1,1952,4016,-1,-1,-1,-1
31.859,8485,10842,5258,11960,11960,11960,11960,11960,-1,1952,4032,-1,-1,-1,-1
33.025,8485,10874,5241,11960,11960,11960,11960,11960,-1,1952,4032,-1,-1,-1,-1
34.351,8485,10874,5241,11960,11960,11960,11960,11960,-1,1936,4032,-1,-1,-1,-1
35.185,8485,10874,5241,11960,11960,11960,11960,11960,-1,1936,4032,-1,-1,-1,-1
52.012,8485,10874,5241,11960,11960,11960,11960,11960,-1,1936,4032,-1,-1,-1,-1
52.392,8485,10874,5241,11960,11960,11960,11960,11960,-1,1952,4032,-1,-1,-1,-1
52.876,8485,10874,5241,11960,11960,11960,11960,11960,-1,1952,4032,-1,-1,-1,-1
55.637,8296,10874,5241,11960,11960,11960,11960,11960,-1,1952,4032,-1,-1,-1,-1
56.851,8296,10874,5241,11960,11960,11960,11960,11960,-1,1968,4032,-1,-1,-1,-1
57.660,8296,10874,5241,11960,11960,11960,11960,11960,-1,1968,4032,-1,-1,-1,-1
76.168,8296,10865,5250,11960,11960,11960,11960,11960,-1,1968,4032,-1,-1,-1,-1
76.703,8296,10865,5250,11960,11960,11960,11960,11960,-1,1968,4032,-1,-1,-1,-1
77.136,8296,10865,5250,11960,11960,11960,11960,11960,-1,1968,4048,-1,-1,-1,-1
79.202,8296,10865,5250,11960,11960,11960,11960,11960,-1,1968,4048,-1,-1,-1,-1
80.519,8296,10865,5250,11960,11960,11960,11960,11960,-1,1952,4048,-1,-1,-1,-1
81.343,8296,10865,5250,11960,11960,11960,11960,11960,-1,1952,4032,-1,-1,-1,-1
83.012,8463,10865,5250,11960,11960,11960,11960,11960,-1,1952,4032,-1,-1,-1,-1
83.410,8463,10865,5250,11960,11960,11960,11960,11960,-1,1968,4032,-1,-1,-1,-1
83.838,8463,10865,5250,11960,11960,11960,11960,11960,-1,1968,4032,-1,-1,-1,-1
84.641,8463,10841,5212,11960,11960,11960,11960,11960,-1,1968,4032,-1,-1,-1,-1
104.338,8463,10841,5212,11960,11960,11960,11960,11960,-1,1952,4032,-1,-1,-1,-1
