Id,FireId,EvalStatus_id
1,1,4
2,1,3
3,2,4
4,2,3
5,3,4
6,3,3
7,4,4
8,4,3
9,5,4
10,5,3
11,6,6
12,6,5
13,7,6
14,7,5
15,8,6
16,8,5
17,9,6
18,9,5
19,10,6
20,10,5
21,11,8
22,11,7
23,12,8
24,12,7
25,13,8
26,13,7
27,14,8
28,14,7
29,15,8
30,15,7
31,16,8
32,16,7
33,17,10
34,17,9
35,18,10
36,18,9
37,19,10
38,19,9
39,20,10
40,20,9
41,21,10
42,21,9
43,22,12
44,22,11
45,23,12
46,23,11
47,24,12
48,24,11
49,25,12
50,25,11
51,26,12
52,26,11
53,27,14
54,27,13
55,28,14
56,28,13
57,29,14
58,29,13
59,30,14
60,30,13
61,31,14
62,31,13
63,32,18
64,32,17
65,33,18
66,33,17
67,34,18
68,34,17
69,35,18
70,35,17
71,36,18
72,36,17
73,37,18
74,37,17
75,38,18
76,38,17
77,39,20
78,39,19
79,40,20
80,40,19
81,41,20
82,41,19
83,42,20
84,42,19
85,43,20
86,43,19
87,44,22
88,44,21
89,45,22
90,45,21
91,46,22
92,46,21
93,47,22
94,47,21
95,48,22
96,48,21
97,50,24
98,50,23
99,51,24
100,51,23
101,52,24
102,52,23
103,53,24
104,53,23
105,54,26
106,54,25
107,55,26
108,55,25
109,56,26
110,56,25
111,57,26
112,57,25
113,58,26
114,58,25
115,59,28
116,59,27
117,60,28
118,60,27
119,61,28
120,61,27
121,62,28
122,62,27
123,63,28
124,63,27
125,65,32
126,65,31
127,66,32
128,66,31
129,67,32
130,67,31
131,68,32
132,68,31
133,69,34
134,69,33
135,70,34
136,70,33
137,71,34
138,71,33
139,72,34
140,72,33
141,73,34
142,73,33
143,74,36
144,74,35
145,75,36
146,75,35
147,76,36
148,76,35
149,77,36
150,77,35
151,78,36
152,78,35
153,79,38
154,79,37
155,80,38
156,80,37
157,81,38
158,81,37
159,82,38
160,82,37
161,83,38
162,83,37
163,84,40
164,84,39
165,85,40
166,85,39
167,86,40
168,86,39
169,87,40
170,87,39
171,88,40
172,88,39
173,89,42
174,89,41
175,90,42
176,90,41
177,91,42
178,91,41
179,92,42
180,92,41
181,93,42
182,93,41
183,94,46
184,94,45
185,95,46
186,95,45
187,96,46
188,96,45
189,97,46
190,97,45
191,98,46
192,98,45
193,99,48
194,99,47
195,100,48
196,100,47
197,101,48
198,101,47
199,102,48
200,102,47
201,103,48
202,103,47
203,104,50
204,104,49
205,105,50
206,105,49
207,106,50
208,106,49
209,107,50
210,107,49
211,108,50
212,108,49
213,109,52
214,109,51
215,110,52
216,110,51
217,111,52
218,111,51
219,112,52
220,112,51
221,113,52
222,113,51
223,114,54
224,114,53
225,115,54
226,115,53
227,116,54
228,116,53
229,117,54
230,117,53
231,118,54
232,118,53
233,119,56
234,119,55
235,120,56
236,120,55
237,121,56
238,121,55
239,122,56
240,122,55
241,123,56
242,123,55
243,124,60
244,124,59
245,125,60
246,125,59
247,126,60
248,126,59
249,127,60
250,127,59
251,128,60
252,128,59
253,129,62
254,129,61
255,130,62
256,130,61
257,131,62
258,131,61
259,132,62
260,132,61
261,133,62
262,133,61
263,134,64
264,134,63
265,135,64
266,135,63
267,136,64
268,136,63
269,137,64
270,137,63
271,138,64
272,138,63
273,139,66
274,139,65
275,140,66
276,140,65
277,141,66
278,141,65
279,142,66
280,142,65
281,143,66
282,143,65
283,144,68
284,144,67
285,145,68
286,145,67
287,146,68
288,146,67
289,147,68
290,147,67
291,148,68
292,148,67
293,149,70
294,149,69
295,150,70
296,150,69
297,151,70
298,151,69
299,152,70
300,152,69
301,153,70
302,153,69
303,154,74
304,154,73
305,155,74
306,155,73
307,156,74
308,156,73
309,157,74
310,157,73
311,158,74
312,158,73
313,159,76
314,159,75
315,160,76
316,160,75
317,161,76
318,161,75
319,162,76
320,162,75
321,163,76
322,163,75
323,164,78
324,164,77
325,165,78
326,165,77
327,166,78
328,166,77
329,167,78
330,167,77
331,168,78
332,168,77
333,169,80
334,169,79
335,170,80
336,170,79
337,171,80
338,171,79
339,172,80
340,172,79
341,173,80
342,173,79
343,174,82
344,174,81
345,175,82
346,175,81
347,176,82
348,176,81
349,177,82
350,177,81
351,178,82
352,178,81
353,179,84
354,179,83
355,180,84
356,180,83
357,181,84
358,181,83
359,182,84
360,182,83
361,183,84
362,183,83
363,184,88
364,184,87
365,185,88
366,185,87
367,186,88
368,186,87
369,187,88
370,187,87
371,188,88
372,188,87
373,189,90
374,189,89
375,190,90
