Id,SuccessRate,GroupSize,GroupCenterX,GroupCenterY,MpiX,MpiY,Score,TimeStamp,IsolatedShots,NumRounds,NumHits,AverageCantAngle,AverageStability,EntityEvalStatus_id
1,1,0,-0.01509214,-0.006423593,-0.01509214,-0.006423593,10,21.31756,0,1,1,3.534861,0.3124848,3
2,1,0,-0.01509214,-0.006423593,-0.01509214,-0.006423593,10,21.31756,0,1,1,3.534861,0.3124848,4
3,1,0,-0.01509214,-0.006423593,-0.01509214,-0.006423593,10,21.31756,1,1,1,3.534861,0.3124848,3
4,1,0,-0.01509214,-0.006423593,-0.01509214,-0.006423593,10,21.31756,1,1,1,3.534861,0.3124848,4
5,1,0.224,-0.114,-0.055,-0.1144569,-0.05574518,12,22.51024,0,2,2,3.558769,0.2967322,3
6,1,0.224,-0.114,-0.055,-0.1144569,-0.05574518,12,22.51024,0,2,2,3.558769,0.2967322,4
7,1,0.224,-0.114,-0.055,-0.1144569,-0.05574518,12,22.51024,1,2,2,3.558769,0.2967322,3
8,1,0.224,-0.114,-0.055,-0.1144569,-0.05574518,12,22.51024,1,2,2,3.558769,0.2967322,4
9,1,0.2231029,-0.1101994,-0.06414463,-0.07609629,-0.06160295,20,23.81966,0,3,3,4.062413,0.2567719,3
10,1,0.2231029,-0.1101994,-0.06414463,-0.07609629,-0.06160295,20,23.81966,0,3,3,4.062413,0.2567719,4
11,1,0.2231029,-0.1101994,-0.06414463,-0.07609629,-0.06160295,20,23.81966,1,3,3,4.062413,0.2567719,3
12,1,0.2231029,-0.1101994,-0.06414463,-0.07609629,-0.06160295,20,23.81966,1,3,3,4.062413,0.2567719,4
13,1,0.3402602,-0.076,-0.0055,-0.04155454,-0.02267712,26,39.13202,0,4,4,3.984555,0.279384,3
14,1,0.3402602,-0.076,-0.0055,-0.04155454,-0.02267712,26,39.13202,0,4,4,3.984555,0.279384,4
15,1,0.3402602,-0.076,-0.0055,-0.04155454,-0.02267712,26,39.13202,1,4,4,3.984555,0.279384,3
16,1,0.3402602,-0.076,-0.0055,-0.04155454,-0.02267712,26,39.13202,1,4,4,3.984555,0.279384,4
17,1,0.3458338,-0.058,-0.0305,-0.06875265,-0.04910178,28,40.10783,0,5,5,3.839784,0.2629103,3
18,1,0.3458338,-0.058,-0.0305,-0.06875265,-0.04910178,28,40.10783,1,5,5,3.839784,0.2629103,3
19,1,0,-0.1350727,0.07318652,-0.1350727,0.07318652,5,104.2449,0,1,1,0.01047897,0.3188598,5
20,1,0,-0.1350727,0.07318652,-0.1350727,0.07318652,5,104.2449,0,1,1,0.01047897,0.3188598,6
21,1,0,-0.1350727,0.07318652,-0.1350727,0.07318652,5,104.2449,1,1,1,0.01047897,0.3188598,5
22,1,0,-0.1350727,0.07318652,-0.1350727,0.07318652,5,104.2449,1,1,1,0.01047897,0.3188598,6
23,1,0.044,-0.113,0.072,-0.1131454,0.07233965,11,105.9668,0,2,2,0.5889994,0.3976659,5
24,1,0.044,-0.113,0.072,-0.1131454,0.07233965,11,105.9668,0,2,2,0.5889994,0.3976659,6
25,1,0.044,-0.113,0.072,-0.1131454,0.07233965,11,105.9668,1,2,2,0.5889994,0.3976659,5
26,1,0.044,-0.113,0.072,-0.1131454,0.07233965,11,105.9668,1,2,2,0.5889994,0.3976659,6
27,1,0.06268173,-0.117,0.0885,-0.1229633,0.08348823,15,107.5665,0,3,3,0.6247519,0.3844067,5
28,1,0.06268173,-0.117,0.0885,-0.1229633,0.08348823,15,107.5665,0,3,3,0.6247519,0.3844067,6
29,1,0.06268173,-0.117,0.0885,-0.1229633,0.08348823,15,107.5665,1,3,3,0.6247519,0.3844067,5
30,1,0.06268173,-0.117,0.0885,-0.1229633,0.08348823,15,107.5665,1,3,3,0.6247519,0.3844067,6
31,1,0.06861984,-0.1247957,0.07691779,-0.1193386,0.07429788,21,109.1114,0,4,4,0.7251365,0.334118,5
32,1,0.06861984,-0.1247957,0.07691779,-0.1193386,0.07429788,21,109.1114,0,4,4,0.7251365,0.334118,6
33,1,0.06861984,-0.1247957,0.07691779,-0.1193386,0.07429788,21,109.1114,1,4,4,0.7251365,0.334118,5
34,1,0.06861984,-0.1247957,0.07691779,-0.1193386,0.07429788,21,109.1114,1,4,4,0.7251365,0.334118,6
35,1,0.1444749,-0.0745,0.111,-0.1036486,0.09447308,25,110.8527,0,5,5,1.114381,0.2960395,5
36,1,0.1444749,-0.0745,0.111,-0.1036486,0.09447308,25,110.8527,0,5,5,1.114381,0.2960395,6
37,1,0.1444749,-0.0745,0.111,-0.1036486,0.09447308,25,110.8527,1,5,5,1.114381,0.2960395,5
38,1,0,-0.05679176,0.04189932,-0.05679176,0.04189932,8,140.195,0,1,1,1.624238,0.2239833,7
39,1,0,-0.05679176,0.04189932,-0.05679176,0.04189932,8,140.195,0,1,1,1.624238,0.2239833,8
40,1,0,-0.05679176,0.04189932,-0.05679176,0.04189932,8,140.195,1,1,1,1.624238,0.2239833,7
41,1,0,-0.05679176,0.04189932,-0.05679176,0.04189932,8,140.195,1,1,1,1.624238,0.2239833,8
42,1,0.112,-0.067,0.097,-0.06737629,0.09696835,12,141.6454,0,2,2,2.081138,0.2214544,7
43,1,0.112,-0.067,0.097,-0.06737629,0.09696835,12,141.6454,0,2,2,2.081138,0.2214544,8
44,1,0.112,-0.067,0.097,-0.06737629,0.09696835,12,141.6454,1,2,2,2.081138,0.2214544,7
45,1,0.112,-0.067,0.097,-0.06737629,0.09696835,12,141.6454,1,2,2,2.081138,0.2214544,8
46,0.6666667,0.112,-0.067,0.097,-0.06737629,0.09696835,12,143.4198,0,3,2,1.879155,0.2103146,7
47,0.6666667,0.112,-0.067,0.097,-0.06737629,0.09696835,12,143.4198,0,3,2,1.879155,0.2103146,8
48,0.6666667,0.112,-0.067,0.097,-0.06737629,0.09696835,12,143.4198,1,3,2,1.879155,0.2103146,7
49,0.6666667,0.112,-0.067,0.097,-0.06737629,0.09696835,12,143.4198,1,3,2,1.879155,0.2103146,8
50,0.75,0.1914811,-0.0305,0.134,-0.0463802,0.1400564,14,145.1316,0,4,3,1.96613,0.2317357,7
51,0.75,0.1914811,-0.0305,0.134,-0.0463802,0.1400564,14,145.1316,0,4,3,1.96613,0.2317357,8
52,0.75,0.1914811,-0.0305,0.134,-0.0463802,0.1400564,14,145.1316,1,4,3,1.96613,0.2317357,7
53,0.75,0.1914811,-0.0305,0.134,-0.0463802,0.1400564,14,145.1316,1,4,3,1.96613,0.2317357,8
54,0.8,0.1914811,-0.0305,0.134,-0.04076882,0.1480452,18,146.5838,0,5,4,2.105063,0.2447954,7
55,0.8,0.1914811,-0.0305,0.134,-0.04076882,0.1480452,18,146.5838,0,5,4,2.105063,0.2447954,8
56,0.8,0.1914811,-0.0305,0.134,-0.04076882,0.1480452,18,146.5838,1,5,4,2.105063,0.2447954,7
57,0.8,0.1914811,-0.0305,0.134,-0.04076882,0.1480452,18,146.5838,1,5,4,2.105063,0.2447954,8
58,0.8333333,0.1917037,-0.0349378,0.1352783,-0.0585259,0.1429895,22,148.1791,0,6,5,2.1072,0.2516467,7
59,0.8333333,0.1917037,-0.0349378,0.1352783,-0.0585259,0.1429895,22,148.1791,0,6,5,2.1072,0.2516467,8
60,0.8333333,0.1917037,-0.0349378,0.1352783,-0.0585259,0.1429895,22,148.1791,1,6,5,2.1072,0.2516467,7
61,1,0,-0.03495795,-0.04968476,-0.03495795,-0.04968476,8,179.1884,0,1,1,1.217154,0.3150872,9
62,1,0,-0.03495795,-0.04968476,-0.03495795,-0.04968476,8,179.1884,0,1,1,1.217154,0.3150872,10
63,1,0,-0.03495795,-0.04968476,-0.03495795,-0.04968476,8,179.1884,1,1,1,1.217154,0.3150872,9
64,1,0,-0.03495795,-0.04968476,-0.03495795,-0.04968476,8,179.1884,1,1,1,1.217154,0.3150872,10
65,1,0.112,-0.023,0.005,-0.02297065,0.005342484,16,181.5556,0,2,2,0.8413385,0.2223641,9
66,1,0.112,-0.023,0.005,-0.02297065,0.005342484,16,181.5556,0,2,2,0.8413385,0.2223641,10
67,1,0.112,-0.023,0.005,-0.02297065,0.005342484,16,181.5556,1,2,2,0.8413385,0.2223641,9
68,1,0.112,-0.023,0.005,-0.02297065,0.005342484,16,181.5556,1,2,2,0.8413385,0.2223641,10
69,1,0.1795244,-0.02,0.0385,-0.01681633,0.0459069,22,183.5051,0,3,3,0.5661851,0.2085318,9
70,1,0.1795244,-0.02,0.0385,-0.01681633,0.0459069,22,183.5051,0,3,3,0.5661851,0.2085318,10
71,1,0.1795244,-0.02,0.0385,-0.01681633,0.0459069,22,183.5051,1,3,3,0.5661851,0.2085318,9
72,1,0.1795244,-0.02,0.0385,-0.01681633,0.0459069,22,183.5051,1,3,3,0.5661851,0.2085318,10
73,1,0.2130914,-0.07659268,0.04809198,-0.0434018,0.070535,26,185.6757,0,4,4,1.101192,0.2161252,9
74,1,0.2130914,-0.07659268,0.04809198,-0.0434018,0.070535,26,185.6757,0,4,4,1.101192,0.2161252,10
75,1,0.2130914,-0.07659268,0.04809198,-0.0434018,0.070535,26,185.6757,1,4,4,1.101192,0.2161252,9
76,1,0.2130914,-0.07659268,0.04809198,-0.0434018,0.070535,26,185.6757,1,4,4,1.101192,0.2161252,10
77,1,0.2130914,-0.07659268,0.04809198,-0.04222364,0.06293561,35,187.6649,0,5,5,1.111376,0.2092797,9
78,1,0.2130914,-0.07659268,0.04809198,-0.04222364,0.06293561,35,187.6649,0,5,5,1.111376,0.2092797,10
79,1,0.2130914,-0.07659268,0.04809198,-0.04222364,0.06293561,35,187.6649,1,5,5,1.111376,0.2092797,9
