Id,SimEngId,TimeStamp,PosX,PosY,PosZ,Heading,Pitch,Roll,Speed,DamageState,Pose,Health,AimPointX,AimPointY,AimPointZ,HitPoints,EntityId
423002,61,0,684.4,54.27,779.92,100,1.5,5.337914E-08,0,0,0,0,0,0,0,100,1
423003,62,0,850.9,82.5,745.1,2.001673E-07,1.449999,8.500002,0,0,0,0,0,0,0,100,2
423004,63,0,843,76.2,797.4,353.9,90,0,0,0,0,0,0,0,0,100,3
423005,64,0,826.7,76.2,709.9,26.005,90,0,0,0,0,0,0,0,0,100,4
423006,78,0.121517,699.3934,53.35163,779.475,271.7,0,0,0,0,0,0,0,1.301,0,100,5
423007,79,0.121517,709.3594,54.02296,778.1788,271.7,270,0,0,0,0,0,0,1.301,0,100,6
423008,80,0.121517,734.467,54.07465,781.4354,271.7,270,0,0,0,0,0,0,1.301,0,100,7
423009,81,0.121517,759.4263,53.61198,779.6942,271.7,270,0,0,0,0,0,0,1.301,0,100,8
423010,82,0.121517,784.356,54.65122,776.9534,271.7,270,0,0,0,0,0,0,0.49,0,100,9
423011,4134,9.219188,709.389,54.01517,779.1783,271.7,0,0,0,0,0,0,0,1.301,0,100,10
423012,7154,21.29308,709.389,54.01517,779.1783,271.7,0,0,0,0,0,0,0,1.300999,0,100,10
423014,7174,21.31756,709.389,54.01517,779.1783,271.7,0,0,0,2,0,0,0,1.300999,0,0,10
423015,7449,22.47799,709.389,54.01517,779.1783,271.7,0,0,0,2,0,0,0,1.300999,0,0,10
423017,7779,23.79874,709.389,54.01517,779.1783,271.7,0,0,0,2,0,0,0,1.300999,0,0,10
423019,11609,39.11068,709.389,54.01517,779.1783,271.7,0,0,0,2,0,0,0,1.300999,0,0,10
423021,11849,40.07623,709.389,54.01517,779.1783,271.7,0,0,0,2,0,0,0,1.300999,0,0,10
423023,11869,40.14926,709.389,54.01517,779.1783,271.7,336.8583,0,0,2,0,0,0,1.300999,0,0,10
423025,11874,40.17904,709.389,54.01517,779.1783,271.7,309.6573,2.67559E-06,0,2,0,0,0,1.300999,0,0,10
423026,11879,40.19428,709.389,54.01517,779.1783,271.7,296.3992,-7.680886E-06,0,2,0,0,0,1.300999,0,0,10
423027,11884,40.20848,709.389,54.01517,779.1783,271.7,283.5143,7.306985E-06,0,2,0,0,0,1.300999,0,0,10
423028,11889,40.22535,709.389,54.01517,779.1783,271.7,270,0,0,2,0,0,0,1.300999,0,0,10
423029,24051,88.88128,709.389,54.01517,779.1783,271.7,0,0,0,0,0,0,0,1.301,0,100,11
423030,27881,104.2106,709.389,54.01517,779.1783,271.7,0,0,0,0,0,0,0,1.300999,0,100,11
423032,27891,104.2449,709.389,54.01517,779.1783,271.7,0,0,0,2,0,0,0,1.300999,0,0,11
423033,28311,105.934,709.389,54.01517,779.1783,271.7,0,0,0,2,0,0,0,1.300999,0,0,11
423035,28711,107.533,709.389,54.01517,779.1783,271.7,0,0,0,2,0,0,0,1.300999,0,0,11
423037,29096,109.0782,709.389,54.01517,779.1783,271.7,0,0,0,2,0,0,0,1.300999,0,0,11
423039,29536,110.8319,709.389,54.01517,779.1783,271.7,0,0,0,2,0,0,0,1.300999,0,0,11
423041,29546,110.8778,709.389,54.01517,779.1783,271.7,346.1252,0,0,2,0,0,0,1.300999,0,0,11
423043,29551,110.8985,709.389,54.01517,779.1783,271.7,327.4562,2.025608E-06,0,2,0,0,0,1.300999,0,0,11
423045,29556,110.9205,709.389,54.01517,779.1783,271.7,307.7334,0,0,2,0,0,0,1.300999,0,0,11
423046,29561,110.9313,709.389,54.01517,779.1783,271.7,298.2677,3.605524E-06,0,2,0,0,0,1.300999,0,0,11
423048,29566,110.9569,709.389,54.01517,779.1783,271.7,274.9461,-3.961003E-05,0,2,0,0,0,1.300999,0,0,11
423049,29571,110.973,709.389,54.01517,779.1783,271.7,270,0,0,2,0,0,0,1.300999,0,0,11
423051,34808,131.9344,709.389,54.01517,779.1783,271.7,0,0,0,0,0,0,0,1.301,0,100,12
423052,36863,140.1555,709.389,54.01517,779.1783,271.7,0,0,0,0,0,0,0,1.300999,0,100,12
423054,36873,140.195,709.389,54.01517,779.1783,271.7,0,0,0,2,0,0,0,1.300999,0,0,12
