Id,TimeStamp,BulletId,Stability,WasHit,BulletName,WeaponStatusId,WeaponStatusSimEngId,TrainingSessionId,WeatherId,BurstId,BulletTerminated,FireImage_id
1,21.30233,1,0.3124848,1,9MM_LUGER,3336469,1550,2,4,NULL,1,NULL
2,22.42071,3,0.2809797,1,9MM_LUGER,3336506,1614,2,4,NULL,1,NULL
3,23.7424,5,0.1768512,1,9MM_LUGER,3336553,1706,2,4,NULL,1,NULL
4,39.05727,7,0.3472201,1,9MM_LUGER,3336936,2840,2,4,NULL,1,NULL
5,40.01576,9,0.1970157,1,9MM_LUGER,3336975,2910,2,4,NULL,1,NULL
6,104.1647,11,0.3188598,1,9MM_LUGER,3338370,7280,3,4,NULL,1,NULL
7,105.8997,13,0.476472,1,9MM_LUGER,3338433,7413,3,4,NULL,1,NULL
8,107.4966,15,0.3578883,1,9MM_LUGER,3338496,7543,3,4,NULL,1,NULL
9,109.0274,17,0.1832517,1,9MM_LUGER,3338551,7656,3,4,NULL,1,NULL
10,110.7831,19,0.1437258,1,9MM_LUGER,3338614,7786,3,4,NULL,1,NULL
11,140.11,21,0.2239833,1,9MM_LUGER,3339170,9892,4,4,NULL,1,NULL
12,141.5465,23,0.2189255,1,9MM_LUGER,3339227,10009,4,4,NULL,1,NULL
13,143.326,25,0.1880349,0,9MM_LUGER,3339290,10138,4,4,NULL,1,NULL
14,145.015,27,0.2959991,1,9MM_LUGER,3339361,10261,4,4,NULL,1,NULL
15,146.4965,29,0.2970344,1,9MM_LUGER,3339416,10345,4,4,NULL,1,NULL
16,148.1188,31,0.2859029,1,9MM_LUGER,3339478,10439,4,4,NULL,1,NULL
17,179.1098,33,0.3150872,1,9MM_LUGER,3340114,12249,5,4,NULL,1,NULL
18,181.4631,35,0.1296411,1,9MM_LUGER,3340199,12389,5,4,NULL,1,NULL
19,183.4248,37,0.1808671,1,9MM_LUGER,3340274,12502,5,4,NULL,1,NULL
20,185.5911,39,0.2389057,1,9MM_LUGER,3340356,12621,5,4,NULL,1,NULL
21,187.5994,41,0.1818973,1,9MM_LUGER,3340425,12732,5,4,NULL,1,NULL
22,207.4995,43,0.1552019,1,9MM_LUGER,3340851,14025,6,4,NULL,1,NULL
23,209.0977,45,0.353228,1,9MM_LUGER,3340908,14137,6,4,NULL,1,NULL
24,210.4663,47,0.2238309,1,9MM_LUGER,3340963,14221,6,4,NULL,1,NULL
25,211.7233,49,0.1712236,1,9MM_LUGER,3341012,14325,6,4,NULL,1,NULL
26,213.1136,51,0.1866543,1,9MM_LUGER,3341065,14402,6,4,NULL,1,NULL
27,242.2582,53,0.4688639,1,9MM_LUGER,3341655,16562,7,4,NULL,1,NULL
28,243.6485,55,0.2196133,1,9MM_LUGER,3341709,16678,7,4,NULL,1,NULL
29,244.9486,57,0.1856955,1,9MM_LUGER,3341763,16779,7,4,NULL,1,NULL
30,248.5322,59,0.3447367,1,9MM_LUGER,3341893,17022,7,4,NULL,1,NULL
31,249.8577,61,0.2061349,1,9MM_LUGER,3341943,17118,7,4,NULL,1,NULL
32,26.91917,63,0.4239677,0,9MM_LUGER,3343776,23623,9,9,NULL,1,NULL
33,44.28408,65,0.3428786,1,9MM_LUGER,3344166,24639,9,9,NULL,1,NULL
34,47.59182,67,0.6345597,1,9MM_LUGER,3344277,24840,9,9,NULL,1,NULL
35,50.12661,69,0.507051,0,9MM_LUGER,3344364,24975,9,9,NULL,1,NULL
36,52.29615,71,0.2317516,1,9MM_LUGER,3344444,25134,9,9,NULL,1,NULL
37,54.57827,73,0.2641386,1,9MM_LUGER,3344530,25302,9,9,NULL,1,NULL
38,57.33785,75,0.1690156,1,9MM_LUGER,3344630,25524,9,9,NULL,1,NULL
39,93.28335,77,0.3105298,1,9MM_LUGER,3345339,28011,10,9,NULL,1,NULL
40,95.95149,79,0.3712195,1,9MM_LUGER,3345437,28204,10,9,NULL,1,NULL
41,98.30389,81,0.2557628,1,9MM_LUGER,3345529,28387,10,9,NULL,1,NULL
42,100.7686,83,0.1077013,1,9MM_LUGER,3345619,28578,10,9,NULL,1,NULL
43,103.5738,85,0.3161654,1,9MM_LUGER,3345725,28779,10,9,NULL,1,NULL
