Id,ParamName,ParamValue,Event_id
3494,Entity Name,ShootingRange,1211
3495,Force,Friendly,1211
3496,Entity Name,col_01,1212
3497,Force,Opposing,1212
3498,Entity Name,col_02,1213
3499,Force,Opposing,1213
3500,Entity Name,col_03,1214
3501,Force,Opposing,1214
3502,Entity Name,Target_5shot_110,1215
3503,Force,Opposing,1215
3504,Entity Name,Target_5shot_110,1216
3505,Force,Opposing,1216
3506,Entity Name,Target_5shot_110,1217
3507,Force,Opposing,1217
3508,Entity Name,Target_5shot_110,1218
3509,Force,Opposing,1218
3510,Entity Name,Target_5shot_110,1219
3511,Force,Opposing,1219
3512,Entity Name,Target_5shot_110,1220
3513,Criteria,{evalType:'BasicMarksmanship'},1220
3514,Entity Name,Target_5shot_110,1221
3515,Force,Opposing,1221
3516,Entity Name,Target_5shot_110,1222
3517,Criteria,{evalType:'BasicMarksmanship'},1222
3518,Trainee Name,Tom Hut,1223
3519,Weapon Name,GLOCK19,1223
3520,Ammunition Name,9MM_LUGER,1223
3521,Trainee Name,Tom Hut,1224
3522,Weapon Name,GLOCK19,1224
3523,Ammunition Name,9MM_LUGER,1224
3524,Target Name,Target_5shot_110,1225
3525,Score,7,1225
3526,Collider,target-hit-7,1225
3527,Trainee Name,Tom Hut,1225
3528,Entity Name,Target_5shot_110,1226
3529,Trainee Name,Tom Hut,1227
3530,Weapon Name,GLOCK19,1227
3531,Ammunition Name,9MM_LUGER,1227
3532,Target Name,Target_5shot_110,1228
3533,Score,6,1228
3534,Collider,target-hit-6,1228
3535,Trainee Name,Tom Hut,1228
3536,Trainee Name,Tom Hut,1229
3537,Weapon Name,GLOCK19,1229
3538,Ammunition Name,9MM_LUGER,1229
3539,Target Name,Target_5shot_110,1230
3540,Score,9,1230
3541,Collider,target-hit-9,1230
3542,Trainee Name,Tom Hut,1230
3543,Trainee Name,Tom Hut,1231
3544,Weapon Name,GLOCK19,1231
3545,Ammunition Name,9MM_LUGER,1231
3546,Target Name,Target_5shot_110,1232
3547,Score,1,1232
3548,Collider,target-hit-1,1232
3549,Trainee Name,Tom Hut,1232
3550,Entity Name,Target_5shot_110,1233
3551,Force,Opposing,1233
3552,Entity Name,Target_5shot_110,1234
3553,Criteria,{evalType:'BasicMarksmanship'},1234
3554,Trainee Name,Tom Hut,1235
3555,Weapon Name,GLOCK19,1235
