Id,TimeStamp,GroupCenterX,GroupCenterY,GroupSize,MpiX,MpiY,Score,SuccessRate,IsolatedShots,NumRounds,NumHits,AverageCantAngle,AverageStability,TrainingSession_id
1,21.31756,-0.01509214,-0.006423593,0,-0.01509214,-0.006423593,10,1,0,1,1,3.534861,0.3124848,2
2,21.31756,-0.01509214,-0.006423593,0,-0.01509214,-0.006423593,10,1,1,1,1,3.534861,0.3124848,2
3,22.42071,-0.01509214,-0.006423593,0,-0.01509214,-0.006423593,10,0.5,0,2,1,3.558769,0.2967322,2
4,22.51024,-0.114,-0.055,0.224,-0.1144569,-0.05574518,12,1,0,2,2,3.558769,0.2967322,2
5,22.51024,-0.114,-0.055,0.224,-0.1144569,-0.05574518,12,1,1,2,2,3.558769,0.2967322,2
6,23.7424,-0.114,-0.055,0.224,-0.1144569,-0.05574518,12,0.6666667,0,3,2,4.062413,0.2567719,2
7,23.81966,-0.1101994,-0.06414463,0.2231029,-0.07609629,-0.06160295,20,1,0,3,3,4.062413,0.2567719,2
8,23.81966,-0.1101994,-0.06414463,0.2231029,-0.07609629,-0.06160295,20,1,1,3,3,4.062413,0.2567719,2
9,39.13202,-0.076,-0.0055,0.3402602,-0.04155454,-0.02267712,26,1,0,4,4,3.984555,0.279384,2
10,39.13202,-0.076,-0.0055,0.3402602,-0.04155454,-0.02267712,26,1,1,4,4,3.984555,0.279384,2
11,40.01576,-0.076,-0.0055,0.3402602,-0.04155454,-0.02267712,26,0.8,0,5,4,3.839784,0.2629103,2
12,40.10783,-0.058,-0.0305,0.3458338,-0.06875265,-0.04910178,28,1,0,5,5,3.839784,0.2629103,2
13,40.10783,-0.058,-0.0305,0.3458338,-0.06875265,-0.04910178,28,1,1,5,5,3.839784,0.2629103,2
14,104.1647,0,0,0,0,0,0,0,0,1,0,0.01047897,0.3188598,3
15,104.2449,-0.1350727,0.07318652,0,-0.1350727,0.07318652,5,1,0,1,1,0.01047897,0.3188598,3
16,104.2449,-0.1350727,0.07318652,0,-0.1350727,0.07318652,5,1,1,1,1,0.01047897,0.3188598,3
17,105.8997,-0.1350727,0.07318652,0,-0.1350727,0.07318652,5,0.5,0,2,1,0.5889994,0.3976659,3
18,105.9668,-0.113,0.072,0.044,-0.1131454,0.07233965,11,1,0,2,2,0.5889994,0.3976659,3
19,105.9668,-0.113,0.072,0.044,-0.1131454,0.07233965,11,1,1,2,2,0.5889994,0.3976659,3
20,107.5665,-0.117,0.0885,0.06268173,-0.1229633,0.08348823,15,1,0,3,3,0.6247519,0.3844067,3
21,107.5665,-0.117,0.0885,0.06268173,-0.1229633,0.08348823,15,1,1,3,3,0.6247519,0.3844067,3
22,109.1114,-0.1247957,0.07691779,0.06861984,-0.1193386,0.07429788,21,1,0,4,4,0.7251365,0.334118,3
23,109.1114,-0.1247957,0.07691779,0.06861984,-0.1193386,0.07429788,21,1,1,4,4,0.7251365,0.334118,3
24,110.8527,-0.0745,0.111,0.1444749,-0.1036486,0.09447308,25,1,0,5,5,1.114381,0.2960395,3
25,110.8527,-0.0745,0.111,0.1444749,-0.1036486,0.09447308,25,1,1,5,5,1.114381,0.2960395,3
26,140.11,0,0,0,0,0,0,0,0,1,0,1.624238,0.2239833,4
27,140.195,-0.05679176,0.04189932,0,-0.05679176,0.04189932,8,1,0,1,1,1.624238,0.2239833,4
28,140.195,-0.05679176,0.04189932,0,-0.05679176,0.04189932,8,1,1,1,1,1.624238,0.2239833,4
29,141.5465,-0.05679176,0.04189932,0,-0.05679176,0.04189932,8,0.5,0,2,1,2.081138,0.2214544,4
30,141.6454,-0.067,0.097,0.112,-0.06737629,0.09696835,12,1,0,2,2,2.081138,0.2214544,4
31,141.6454,-0.067,0.097,0.112,-0.06737629,0.09696835,12,1,1,2,2,2.081138,0.2214544,4
32,143.326,-0.067,0.097,0.112,-0.06737629,0.09696835,12,0.6666667,0,3,2,1.879155,0.2103146,4
33,143.4198,-0.067,0.097,0.112,-0.06737629,0.09696835,12,0.6666667,0,3,2,1.879155,0.2103146,4
34,143.4198,-0.067,0.097,0.112,-0.06737629,0.09696835,12,0.6666667,1,3,2,1.879155,0.2103146,4
35,145.015,-0.067,0.097,0.112,-0.06737629,0.09696835,12,0.5,0,4,2,1.96613,0.2317357,4
36,145.1316,-0.0305,0.134,0.1914811,-0.0463802,0.1400564,14,0.75,0,4,3,1.96613,0.2317357,4
37,145.1316,-0.0305,0.134,0.1914811,-0.0463802,0.1400564,14,0.75,1,4,3,1.96613,0.2317357,4
38,146.5838,-0.0305,0.134,0.1914811,-0.04076882,0.1480452,18,0.8,0,5,4,2.105063,0.2447954,4
39,146.5838,-0.0305,0.134,0.1914811,-0.04076882,0.1480452,18,0.8,1,5,4,2.105063,0.2447954,4
40,148.1188,-0.0305,0.134,0.1914811,-0.04076882,0.1480452,18,0.6666667,0,6,4,2.1072,0.2516467,4
41,148.1791,-0.0349378,0.1352783,0.1917037,-0.0585259,0.1429895,22,0.8333333,0,6,5,2.1072,0.2516467,4
42,148.1791,-0.0349378,0.1352783,0.1917037,-0.0585259,0.1429895,22,0.8333333,1,6,5,2.1072,0.2516467,4
43,179.1098,0,0,0,0,0,0,0,0,1,0,1.217154,0.3150872,5
44,179.1884,-0.03495795,-0.04968476,0,-0.03495795,-0.04968476,8,1,0,1,1,1.217154,0.3150872,5
45,179.1884,-0.03495795,-0.04968476,0,-0.03495795,-0.04968476,8,1,1,1,1,1.217154,0.3150872,5
46,181.4631,-0.03495795,-0.04968476,0,-0.03495795,-0.04968476,8,0.5,0,2,1,0.8413385,0.2223641,5
47,181.5556,-0.023,0.005,0.112,-0.02297065,0.005342484,16,1,0,2,2,0.8413385,0.2223641,5
48,181.5556,-0.023,0.005,0.112,-0.02297065,0.005342484,16,1,1,2,2,0.8413385,0.2223641,5
49,183.4248,-0.023,0.005,0.112,-0.02297065,0.005342484,16,0.6666667,0,3,2,0.5661851,0.2085318,5
50,183.5051,-0.02,0.0385,0.1795244,-0.01681633,0.0459069,22,1,0,3,3,0.5661851,0.2085318,5
51,183.5051,-0.02,0.0385,0.1795244,-0.01681633,0.0459069,22,1,1,3,3,0.5661851,0.2085318,5
52,185.5911,-0.02,0.0385,0.1795244,-0.01681633,0.0459069,22,0.75,0,4,3,1.101192,0.2161252,5
53,185.6757,-0.07659268,0.04809198,0.2130914,-0.0434018,0.070535,26,1,0,4,4,1.101192,0.2161252,5
54,185.6757,-0.07659268,0.04809198,0.2130914,-0.0434018,0.070535,26,1,1,4,4,1.101192,0.2161252,5
55,187.6649,-0.07659268,0.04809198,0.2130914,-0.04222364,0.06293561,35,1,0,5,5,1.111376,0.2092797,5
56,187.6649,-0.07659268,0.04809198,0.2130914,-0.04222364,0.06293561,35,1,1,5,5,1.111376,0.2092797,5
57,207.4995,0,0,0,0,0,0,0,0,1,0,1.68173,0.1552019,6
58,207.5921,0.0474306,-0.177199,0,0.0474306,-0.177199,4,1,0,1,1,1.68173,0.1552019,6
59,207.5921,0.0474306,-0.177199,0,0.0474306,-0.177199,4,1,1,1,1,1.68173,0.1552019,6
60,209.0977,0.0474306,-0.177199,0,0.0474306,-0.177199,4,0.5,0,2,1,1.257948,0.2542149,6
61,209.1951,0.013,-0.052,0.26,0.01333696,-0.05219299,12,1,0,2,2,1.257948,0.2542149,6
62,209.1951,0.013,-0.052,0.26,0.01333696,-0.05219299,12,1,1,2,2,1.257948,0.2542149,6
63,210.4663,0.013,-0.052,0.26,0.01333696,-0.05219299,12,0.6666667,0,3,2,2.127617,0.2440869,6
64,210.5516,0.013,-0.052,0.259083,0.01816046,-0.04371822,21,1,0,3,3,2.127617,0.2440869,6
65,210.5516,0.013,-0.052,0.259083,0.01816046,-0.04371822,21,1,1,3,3,2.127617,0.2440869,6
66,211.7233,0.013,-0.052,0.259083,0.01816046,-0.04371822,21,0.75,0,4,3,1.998644,0.2258711,6
67,211.8176,0.013,-0.052,0.259083,0.01215767,-0.02546096,30,1,0,4,4,1.998644,0.2258711,6
68,211.8176,0.013,-0.052,0.259083,0.01215767,-0.02546096,30,1,1,4,4,1.998644,0.2258711,6
69,213.1136,0.013,-0.052,0.259083,0.01215767,-0.02546096,30,0.8,0,5,4,1.758407,0.2180277,6
70,213.1924,0.0245,-0.0125,0.3320632,0.01016361,0.009996009,35,1,0,5,5,1.758407,0.2180277,6
71,213.1924,0.0245,-0.0125,0.3320632,0.01016361,0.009996009,35,1,1,5,5,1.758407,0.2180277,6
72,242.3266,0.09314288,0.06154335,0,0.09314288,0.06154335,6,1,0,1,1,1.272595,0.4688639,7
73,242.3266,0.09314288,0.06154335,0,0.09314288,0.06154335,6,1,1,1,1,1.272595,0.4688639,7
74,243.6485,0.09314288,0.06154335,0,0.09314288,0.06154335,6,0.5,0,2,1,1.434592,0.3442386,7
75,243.7348,0.008,0.084,0.176,0.008395515,0.08432466,12,1,0,2,2,1.434592,0.3442386,7
76,243.7348,0.008,0.084,0.176,0.008395515,0.08432466,12,1,1,2,2,1.434592,0.3442386,7
77,244.9486,0.008,0.084,0.176,0.008395515,0.08432466,12,0.6666667,0,3,2,1.697922,0.2913909,7
78,245.0585,0.0045,0.149,0.2482035,-0.02227812,0.1348217,13,1,0,3,3,1.697922,0.2913909,7
79,245.0585,0.0045,0.149,0.2482035,-0.02227812,0.1348217,13,1,1,3,3,1.697922,0.2913909,7
80,248.5322,0.0045,0.149,0.2482035,-0.02227812,0.1348217,13,0.75,0,4,3,1.360879,0.3047273,7
81,248.6042,0.0045,0.149,0.2482035,0.009742703,0.1467344,16,1,0,4,4,1.360879,0.3047273,7
82,248.6042,0.0045,0.149,0.2482035,0.009742703,0.1467344,16,1,1,4,4,1.360879,0.3047273,7
83,249.9403,0.0045,0.149,0.2482035,-0.001769081,0.1462314,21,1,0,5,5,1.415958,0.2850088,7
84,249.9403,0.0045,0.149,0.2482035,-0.001769081,0.1462314,21,1,1,5,5,1.415958,0.2850088,7
85,27.00867,0,0,0,0,0,0,0,0,1,0,0.5705922,0.4239677,9
86,27.00867,0,0,0,0,0,0,0,1,1,0,0.5705922,0.4239677,9
87,44.35658,0.0477597,-0.1276959,0,0.0477597,-0.1276959,6,0.5,0,2,1,2.415222,0.3834231,9
88,44.35658,0.0477597,-0.1276959,0,0.0477597,-0.1276959,6,0.5,1,2,1,2.415222,0.3834231,9
89,47.59182,0.0477597,-0.1276959,0,0.0477597,-0.1276959,6,0.3333333,0,3,1,1.890074,0.4671353,9
90,47.6958,0.035,-0.127,0.026,0.03479506,-0.1267897,12,0.6666667,0,3,2,1.890074,0.4671353,9
91,47.6958,0.035,-0.127,0.026,0.03479506,-0.1267897,12,0.6666667,1,3,2,1.890074,0.4671353,9
92,50.20517,0.035,-0.127,0.026,0.03479506,-0.1267897,12,0.5,0,4,2,1.455633,0.4771142,9
