time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
0.008,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5744,-1,-1,-1,-1
10.070,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5744,-1,-1,-1,-1
10.408,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5744,-1,-1,-1,-1
10.834,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5760,-1,-1,-1,-1
11.451,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5760,-1,-1,-1,-1
11.687,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5760,-1,-1,-1,-1
11.940,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5760,-1,-1,-1,-1
14.771,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5760,-1,-1,-1,-1
15.318,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5760,-1,-1,-1,-1
15.939,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5760,-1,-1,-1,-1
37.267,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5760,-1,-1,-1,-1
37.819,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5760,-1,-1,-1,-1
38.413,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5776,-1,-1,-1,-1
41.107,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5776,-1,-1,-1,-1
41.984,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5776,-1,-1,-1,-1
42.607,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5776,-1,-1,-1,-1
43.942,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5776,-1,-1,-1,-1
58.238,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5776,-1,-1,-1,-1
58.997,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5776,-1,-1,-1,-1
60.683,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5776,-1,-1,-1,-1
61.229,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5776,-1,-1,-1,-1
61.801,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5776,-1,-1,-1,-1
86.250,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5776,-1,-1,-1,-1
86.968,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5776,-1,-1,-1,-1
87.754,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
89.366,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
90.653,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
91.325,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
92.522,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
92.782,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
93.051,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
109.904,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
110.554,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
111.213,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
112.313,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
112.575,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
112.908,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
114.566,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
