time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
0.007,4277,9872,5927,4192,4192,4192,4192,4192,-1,0,11120,-1,-1,-1,-1
0.610,4277,9872,5927,4192,4192,4192,4192,4192,-1,0,11120,-1,-1,-1,-1
7.628,4277,9976,6025,4192,4192,4192,4192,4192,-1,0,11120,-1,-1,-1,-1
8.168,4277,9976,6025,4192,4192,4192,4192,4192,-1,0,11120,-1,-1,-1,-1
10.119,4277,9976,6025,4192,4192,4192,4192,4192,-1,0,11040,-1,-1,-1,-1
12.639,5577,9976,6025,4192,4192,4192,4192,4192,-1,0,11040,-1,-1,-1,-1
13.208,5577,9976,6025,4192,4192,4192,4192,4192,-1,0,11040,-1,-1,-1,-1
39.529,5577,9976,6025,4192,4192,4192,4192,4192,-1,0,10992,-1,-1,-1,-1
40.567,5577,10142,6742,4192,4192,4192,4192,4192,-1,0,10992,-1,-1,-1,-1
40.907,5577,10142,6742,4192,4192,4192,4192,4192,-1,0,10992,-1,-1,-1,-1
41.184,5577,10142,6742,4192,4192,4192,4192,4192,-1,0,10912,-1,-1,-1,-1
41.734,5154,10142,6742,4192,4192,4192,4192,4192,-1,0,10912,-1,-1,-1,-1
41.956,5154,10142,6742,4192,4192,4192,4192,4192,-1,0,10912,-1,-1,-1,-1
75.319,5154,10142,6742,4192,4192,4192,4192,4192,-1,0,10848,-1,-1,-1,-1
77.779,5154,10419,7265,4192,4192,4192,4192,4192,-1,0,10848,-1,-1,-1,-1
78.817,5154,10419,7265,4192,4192,4192,4192,4192,-1,0,10848,-1,-1,-1,-1
79.511,5154,10419,7265,4192,4192,4192,4192,4192,-1,0,10816,-1,-1,-1,-1
80.791,4980,10419,7265,4192,4192,4192,4192,4192,-1,0,10816,-1,-1,-1,-1
81.407,4980,10419,7265,4192,4192,4192,4192,4192,-1,0,10816,-1,-1,-1,-1
82.009,4980,10419,7265,4192,4192,4192,4192,4192,-1,0,10752,-1,-1,-1,-1
82.568,4980,10552,7517,4192,4192,4192,4192,4192,-1,0,10752,-1,-1,-1,-1
101.677,4980,10552,7517,4192,4192,4192,4192,4192,-1,0,10752,-1,-1,-1,-1
102.830,4980,10552,7517,4192,4192,4192,4192,4192,-1,0,10736,-1,-1,-1,-1
103.372,5517,10552,7517,4192,4192,4192,4192,4192,-1,0,10736,-1,-1,-1,-1
103.626,5517,10552,7517,4192,4192,4192,4192,4192,-1,0,10736,-1,-1,-1,-1
129.181,5517,10552,7517,4192,4192,4192,4192,4192,-1,0,10688,-1,-1,-1,-1
130.575,5517,10461,7698,4192,4192,4192,4192,4192,-1,0,10688,-1,-1,-1,-1
131.100,5517,10461,7698,4192,4192,4192,4192,4192,-1,0,10688,-1,-1,-1,-1
150.310,5517,10461,7698,4192,4192,4192,4192,4192,-1,0,10688,-1,-1,-1,-1
151.845,4857,10461,7698,4192,4192,4192,4192,4192,-1,0,10688,-1,-1,-1,-1
152.442,4857,10461,7698,4192,4192,4192,4192,4192,-1,0,10688,-1,-1,-1,-1
153.234,4857,10461,7698,4192,4192,4192,4192,4192,-1,0,10688,-1,-1,-1,-1
153.811,4857,10310,7448,4192,4192,4192,4192,4192,-1,0,10688,-1,-1,-1,-1
154.043,4857,10310,7448,4192,4192,4192,4192,4192,-1,0,10688,-1,-1,-1,-1
154.300,4857,10310,7448,4192,4192,4192,4192,4192,-1,0,10640,-1,-1,-1,-1
179.987,3588,10310,7448,4192,4192,4192,4192,4192,-1,0,10640,-1,-1,-1,-1
180.547,3588,10310,7448,4192,4192,4192,4192,4192,-1,0,10640,-1,-1,-1,-1
181.123,3588,10310,7448,4192,4192,4192,4192,4192,-1,0,10624,-1,-1,-1,-1
181.720,3588,10038,6546,4192,4192,4192,4192,4192,-1,0,10624,-1,-1,-1,-1
181.955,3588,10038,6546,4192,4192,4192,4192,4192,-1,0,10624,-1,-1,-1,-1
200.709,3588,10038,6546,4192,4192,4192,4192,4192,-1,0,10592,-1,-1,-1,-1
202.476,4660,10038,6546,4192,4192,4192,4192,4192,-1,0,10592,-1,-1,-1,-1
202.744,4660,10038,6546,4192,4192,4192,4192,4192,-1,0,10592,-1,-1,-1,-1
203.007,4660,10038,6546,4192,4192,4192,4192,4192,-1,0,10576,-1,-1,-1,-1
203.500,4660,10074,6122,4192,4192,4192,4192,4192,-1,0,10576,-1,-1,-1,-1
